text,label
"ສາຍB (ອາຍຸ14 – 17 ປີ ) ,  ",Lao
ສາຍ C (ອາຍຸ18–25ປີ). ,Lao
"ໃນເວລາທີ່ພວກເຂົາພົບກັບການວາດພາບທາງເລຂາຄະນິດແບບງ່າຍໆ,",Lao
cortexສາຍຕາເບື້ອງຕົ້ນຈະ ຖືກເປີດໃຊ້ງານ. ,Lao
"ທ່ານຮອງນາຍົກລັດຖະມົນຕີສະເໜີບັນດາອົງການຕິດຕາມກວດກາ ຕ້ອງເສີມຂະຫຍາຍຈົນສຸດພາລະບົດບາດຂອງຕົນເພື່ອໃຫ້ບັນດາຝ່າຍທີ່ກ່ຽວຂ້ອງພ້ອມກັນສືບຕໍ່ ສ້າງບັນດາວິທີການແກ້ໄຂ,",Lao
"ເຮັດໃຫ້ລະບຽບການບໍລິຫານເປັນງ່າຍດາຍ,",Lao
ຮັບປະກັນຕາມລະບຽບກົດໝາຍ.  ,Lao
"ຕອນເຊົ້າວັນທີ1ທັນວາ, ",Lao
ຢູ່ສະໜາມຫຼວງສູນສື່ສານ ແລະ ວັດທະນະທໍານະຄອນມ໊ອງກ໊າຍແຂວງກວ໋າງນິງ ຂອງຫວຽດນາມໄດ້ໄງານຕະຫຼາດນັດການຄ້າ,Lao
ການທ່ອງທ່ຽວສາກົນຫວຽດນາມ - ຈີນ (ມ໊ອງກ໊າຍ - ຕຸງສິງ)ປີ 2019. ,Lao
"ຖ້ ຂ້ອຍຍືດ, ຂ້ອຍສາມາດບິນໄດ້. ",Lao
ແລະດັ່ງທີ່ທ່ານສາມາດເຫັນຢູ່ທີ່ນີ້,Lao
ອັດຕາການຫຼຸດລົງຈະ ຊ້າລົງຫຼາຍຍ້ອນວ່າພື້ນທີ່ຕິດຕໍ່ໃຫຍ່. ,Lao
ພິເສດສິນຄ້າຂອງຫວຽດນາມສົ່ງອອກໄປຍັງບັນດາຕະຫລາດ ມີບັນດາສັນຍາການຄ້າເສລີກັບຫວຽດນາມ ,Lao
ລ້ວນແຕ່ເພີ່ມຂຶ້ນສູງເມື່ອທຽບໃສ່ປີກາຍ. ,Lao
"ຕອນຄ່ຳວັນທີ21ກຸມພາຢູ່ເມືອງແມ່ວວາກ(ແຂວງ ຮ່າຢາງ), ",Lao
ໄດ້ດຳເນີນງານບຸນດອກຄາຍ- 2019,Lao
ດ້ວຍບັນດາການເຄື່ອນໄຫວທີ່ດຶງດູດແຂກທ່ອງທ່ຽວຢູ່ພາຍໃນ ປະເທດແລະຕ່າງປະເທດມາຊອກຮູ້ຜ່ານຕົວຈິງເປັນຈຳນວນຫລວງຫລາຍ. ,Lao
ແຕ່ພວກເຮົາຫຼາຍຄົນພິຈາລະນາຕົນເອງໜຶ່ງໃນສອງໝວ. ,Lao
"ພວກເຮົາກຳນົດພາສີສິ່ງແວດລ້ອມ,",Lao
ແລະຈາກນັ້ນທຸກຄົນພໍໃຈແລະນັກທຸລະກິດທຸກຄົນຕ້ອງເສຍອາກອນເປັນ ປະຈຳ.,Lao
ມັນມັກຈະມີຄວາມເຂົ້າໃຈຜິດໃນຍຸກນີ້ວ່າບໍ່ມີຫຍັງທີ່ຍັງບໍ່ໄດ້ຄົ້ນພົບຫລືມີຄວາມສ່ຽງ.,Lao
"ໂອ້, ຂ່າວນັ້ນເຮັດໃຫ້ຂ້ອຍມີຄວາມສຸກຫລາຍກວ່າສິ່ງອື່ນໆ.",Lao
"ຈາກນັ້ນ,ນໍາພື້ນຖານເສດຖະກິດລວມໝູ່, ",Lao
"ໂດຍຫຼັກແຫຼ່ງແມ່ນສະຫະກອນພັດທະນາ,",Lao
